,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atambua,-9.1061,124.8925,78.19,79,94,3.06,ID,1616804091
1,Jamestown,42.097,-79.2353,43.0,93,90,12.3,US,1616804092
2,Gigmoto,13.7796,124.39,81.37,80,100,8.99,PH,1616804092
3,Ilulissat,69.2167,-51.1,-13.0,48,14,7.36,GL,1616804092
4,Ushuaia,-54.8,-68.3,50.0,62,75,5.75,AR,1616804093
5,Englehart,47.8169,-79.8664,28.4,74,1,4.61,CA,1616804093
6,Chara,56.9064,118.2631,22.78,92,100,1.66,RU,1616804093
7,Vila Franca do Campo,37.7167,-25.4333,55.4,76,20,6.91,PT,1616803907
8,Puerto Ayora,-0.7393,-90.3518,80.01,86,67,5.99,EC,1616803984
9,Esperance,-33.8667,121.9,57.2,88,0,12.66,AU,1616803858
10,Mananara,-16.1667,49.7667,75.07,94,84,2.95,MG,1616804094
11,San Cristobal,7.7669,-72.225,71.6,100,75,2.3,VE,1616804094
12,Rikitea,-23.1203,-134.9692,79.0,72,1,17.92,PF,1616804095
13,Butaritari,3.0707,172.7902,81.77,76,29,13.06,KI,1616804095
14,Tasiilaq,65.6145,-37.6368,6.8,47,75,9.22,GL,1616804095
15,Cidreira,-30.1811,-50.2056,68.27,92,100,7.02,BR,1616804096
16,Vaitape,-16.5167,-151.75,82.89,73,10,21.99,PF,1616804096
17,Busselton,-33.65,115.3333,55.0,91,83,5.59,AU,1616804096
18,Saskylakh,71.9167,114.0833,3.04,96,99,3.0,RU,1616804097
19,Yulara,-25.2406,130.9889,78.8,53,40,6.91,AU,1616804097
20,Leh,34.1667,77.5833,36.0,49,35,3.71,IN,1616804097
21,Kapaa,22.0752,-159.319,80.01,78,75,9.22,US,1616804098
22,Szczecinek,53.7079,16.6994,46.0,78,78,11.01,PL,1616804098
23,Khatanga,71.9667,102.5,-11.4,97,92,2.59,RU,1616803861
24,Weirton,40.419,-80.5895,55.4,54,90,4.61,US,1616804098
25,Vaini,-21.2,-175.2,84.2,74,40,10.36,TO,1616804099
26,Diego de Almagro,-26.3667,-70.05,64.15,45,0,3.02,CL,1616803888
27,Albany,42.6001,-73.9662,48.99,72,71,7.0,US,1616803808
28,Port Macquarie,-31.4333,152.9167,79.0,60,71,1.01,AU,1616804029
29,Pevek,69.7008,170.3133,-20.0,93,82,5.1,RU,1616803861
30,Aklavik,68.2191,-135.0107,-2.2,71,92,8.05,CA,1616804099
31,Salihorsk,52.7876,27.5415,37.62,84,14,5.06,BY,1616804100
32,Hermanus,-34.4187,19.2345,62.01,93,44,11.65,ZA,1616804100
33,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.2,53,100,4.47,RU,1616804015
